mol_id,true_gap,predicted_gap,residual,absolute_error,n_heavy_atoms,scaffold
79512,34.29,0.3139082824199721,33.976091717580026,33.976091717580026,9,[C@H2]1C2[C@H2]C1[C@@]21[C@H2]O1
23280,0.1738,0.32428834519999516,-0.15048834519999515,0.15048834519999515,8,C1[C@H2][C@@H]2[C@@H]3[C@H2][C@H]1[C@H]23
69005,0.1694,0.31298622533201353,-0.14358622533201354,0.14358622533201354,9,C1[C@H2][C@H]2C3[C@H]2[C@H2][C@H]13
111279,0.0938,0.19320571719669322,-0.09940571719669322,0.09940571719669322,9,c1ncon1
3971,0.2021,0.3004849368974149,-0.0983849368974149,0.0983849368974149,9,C1[C@H2][C@@H]2[C@@H2][N@@H+]3[C@H2][C@H]1[C@H]23
115101,0.1132,0.21124257118336728,-0.09804257118336729,0.09804257118336729,9,c1ccoc1
101964,0.1436,0.2386976467854927,-0.0950976467854927,0.0950976467854927,9,O=C1C[C@H]2[C@H2][C@@H]3[C@H]2N13
591,0.1852,0.27228475201482183,-0.08708475201482183,0.08708475201482183,9,[C@@H2]1[C@@H2][C@H]2NNN3[C@H2][C@@H]1[C@@H]23
95176,0.1521,0.23875316092523413,-0.08665316092523412,0.08665316092523412,8,[C@H2]1[NH2+][C@@H]2O[C@H]3C2[C@@H]13
3852,0.214,0.29980079360241474,-0.08580079360241474,0.08580079360241474,9,C1C[C@H2]1
109643,0.1494,0.23393747045471985,-0.08453747045471985,0.08453747045471985,9,[NH2+]1[C@H]2O[C@@H]3[C@H]2C2[C@@H]3[C@@H]12
20760,0.1587,0.24225745352916486,-0.08355745352916485,0.08355745352916485,9,[C@@H2]1[NH2+][C@@H]2N[C@H]3C2[C@@H]13
106077,0.1547,0.23354153402542396,-0.07884153402542396,0.07884153402542396,8,[NH2+]1[C@H]2[C@@H]3[C@H]2[C@@H]2O[C@H]1[C@@H]23
43658,0.155,0.23275179538233212,-0.07775179538233212,0.07775179538233212,9,[NH2+]1C2[C@H]3[C@H]4O[C@@H]1[C@H]4[C@@H]23
72340,0.1111,0.18792588940212823,-0.07682588940212823,0.07682588940212823,8,O=c1[cH+]occ[cH-]1
51019,0.1549,0.2307537781753002,-0.0758537781753002,0.0758537781753002,9,[C@@H2]1[NH2+][C@H]2[C@@H]3C4[C@@H]([C@H]13)[N@H+]42
7498,0.1616,0.2374185482243758,-0.07581854822437581,0.07581854822437581,9,[C+]1[CH+]N=CO[CH+]1
93750,0.1155,0.19103690046957486,-0.07553690046957486,0.07553690046957486,9,c1[cH+]oc2c[nH]cc2n1
57988,0.1617,0.23684301595770932,-0.07514301595770931,0.07514301595770931,9,[C+]1C=CCO[CH+]1
102725,0.148,0.221409720854242,-0.073409720854242,0.073409720854242,9,C1[C@@H2][C@@H]2[C@@H]3[C@@H2][C@H]1[C@H]23
